classifier,n,Lhat,trainTime,testTime,iterate
MORF, 10, 0.502000000, 0.092199087, 0.027207613, 0
MORF, 10, 0.502000000, 0.066608191, 0.027167797, 1
MORF, 10, 0.502000000, 0.069042444, 0.026028395, 2
MORF, 10, 0.502000000, 0.066727638, 0.026954174, 3
MORF, 10, 0.502000000, 0.072486877, 0.028236628, 4
CNN, 10, 0.499500000, 0.157502890, 0.053546190, 0
CNN, 10, 0.499500000, 0.053768635, 0.044858932, 1
CNN, 10, 0.506000000, 0.053632975, 0.046129465, 2
CNN, 10, 0.506000000, 0.040608644, 0.031894207, 3
CNN, 10, 0.507000000, 0.040837288, 0.029168844, 4
MORF, 50, 0.489500000, 0.533172846, 0.029536247, 0
MORF, 50, 0.489500000, 0.533303976, 0.030033827, 1
MORF, 50, 0.489500000, 0.530062437, 0.035865784, 2
MORF, 50, 0.489500000, 0.533758402, 0.030407906, 3
MORF, 50, 0.489500000, 0.536033869, 0.043473721, 4
CNN, 50, 0.485000000, 0.392803192, 0.047240257, 0
CNN, 50, 0.492000000, 0.087104797, 0.038635969, 1
CNN, 50, 0.478000000, 0.049097538, 0.031098604, 2
CNN, 50, 0.486000000, 0.049576759, 0.031943321, 3
CNN, 50, 0.501000000, 0.049535751, 0.034698486, 4
MORF, 100, 0.494000000, 1.437495708, 0.039080143, 0
MORF, 100, 0.494000000, 1.375834465, 0.030543327, 1
MORF, 100, 0.494000000, 1.401309013, 0.035750389, 2
MORF, 100, 0.494000000, 1.396359444, 0.032378197, 3
MORF, 100, 0.494000000, 1.369897604, 0.030857086, 4
CNN, 100, 0.467500000, 0.319150209, 0.029678583, 0
CNN, 100, 0.468500000, 0.062722683, 0.029093742, 1
CNN, 100, 0.469500000, 0.065721035, 0.030864954, 2
CNN, 100, 0.463500000, 0.063631296, 0.038007498, 3
CNN, 100, 0.472500000, 0.079472065, 0.046181440, 4
MORF, 200, 0.490500000, 3.431499004, 0.044195175, 0
MORF, 200, 0.490500000, 3.405267477, 0.051566601, 1
MORF, 200, 0.490500000, 3.374749899, 0.036969185, 2
MORF, 200, 0.490500000, 3.617353201, 0.131834269, 3
MORF, 200, 0.490500000, 3.641653538, 0.073346853, 4
CNN, 200, 0.415500000, 0.554186583, 0.046824694, 0
CNN, 200, 0.413500000, 0.167325497, 0.032353640, 1
CNN, 200, 0.414000000, 0.151883364, 0.029814243, 2
CNN, 200, 0.407500000, 0.089854479, 0.030058622, 3
CNN, 200, 0.401000000, 0.148770332, 0.040344238, 4
MORF, 400, 0.443500000, 7.687204599, 0.037756681, 0
MORF, 400, 0.443500000, 7.693003893, 0.074020147, 1
MORF, 400, 0.443500000, 7.933013678, 0.036170006, 2
MORF, 400, 0.443500000, 7.921575546, 0.037615538, 3
MORF, 400, 0.443500000, 7.645919561, 0.038700104, 4
CNN, 400, 0.131500000, 0.468440056, 0.033934355, 0
CNN, 400, 0.103000000, 0.223513126, 0.031456947, 1
CNN, 400, 0.075500000, 0.247472763, 0.030436277, 2
CNN, 400, 0.062500000, 0.165930510, 0.028171539, 3
CNN, 400, 0.054000000, 0.168323755, 0.025535583, 4
MORF, 1000, 0.333500000, 26.803651571, 0.082272291, 0
MORF, 1000, 0.333500000, 25.515443325, 0.043305397, 1
MORF, 1000, 0.333500000, 25.269424915, 0.049219608, 2
MORF, 1000, 0.333500000, 26.981976748, 0.110196590, 3
MORF, 1000, 0.333500000, 25.360923529, 0.072826624, 4
CNN, 1000, 0.014500000, 0.603181839, 0.039622784, 0
CNN, 1000, 0.007000000, 0.378253222, 0.037374735, 1
CNN, 1000, 0.008500000, 0.375633001, 0.032471180, 2
CNN, 1000, 0.007500000, 0.379519463, 0.031342030, 3
CNN, 1000, 0.008000000, 0.385789156, 0.042774916, 4
MORF, 2000, 0.148500000, 59.800885201, 0.046802998, 0
MORF, 2000, 0.148500000, 59.846148729, 0.095667362, 1
MORF, 2000, 0.148500000, 60.794068575, 0.059559107, 2
MORF, 2000, 0.148500000, 60.626849413, 0.050928354, 3
MORF, 2000, 0.148500000, 59.519300938, 0.046432257, 4
CNN, 2000, 0.001500000, 0.958516359, 0.045901775, 0
CNN, 2000, 0.000000000, 0.940214872, 0.040745497, 1
CNN, 2000, 0.000500000, 0.941625834, 0.041473866, 2
CNN, 2000, 0.001500000, 0.943976164, 0.050891399, 3
CNN, 2000, 0.000000000, 0.967869759, 0.040382862, 4
