classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 10, 0.494500000, 0.669820309, 0.006775618, 0
Log. Reg, 10, 0.494500000, 0.241339207, 0.002303123, 1
Log. Reg, 10, 0.494500000, 0.286349535, 0.002231121, 2
Log. Reg, 10, 0.494500000, 0.276555777, 0.003106833, 3
Log. Reg, 10, 0.494500000, 0.270592213, 0.003192663, 4
Lin. SVM, 10, 0.496500000, 0.001991510, 0.001551867, 0
Lin. SVM, 10, 0.496500000, 0.001829147, 0.001550913, 1
Lin. SVM, 10, 0.496500000, 0.001747847, 0.001566887, 2
Lin. SVM, 10, 0.496500000, 0.001821995, 0.001567125, 3
Lin. SVM, 10, 0.496500000, 0.001745701, 0.001570225, 4
SVM, 10, 0.501500000, 0.002527237, 0.004945993, 0
SVM, 10, 0.501500000, 0.002308130, 0.004927874, 1
SVM, 10, 0.501500000, 0.001696587, 0.003836155, 2
SVM, 10, 0.501500000, 0.001547575, 0.003842115, 3
SVM, 10, 0.501500000, 0.001600504, 0.003791094, 4
kNN, 10, 0.499500000, 0.001214266, 0.300871611, 0
kNN, 10, 0.499500000, 0.001155138, 0.279144764, 1
kNN, 10, 0.499500000, 0.001214743, 0.272520781, 2
kNN, 10, 0.499500000, 0.001238346, 0.240076542, 3
kNN, 10, 0.499500000, 0.001187801, 0.250343561, 4
RF, 10, 0.497500000, 0.002415657, 0.030261755, 0
RF, 10, 0.497500000, 0.002151966, 0.025534630, 1
RF, 10, 0.497500000, 0.002715588, 0.028044701, 2
RF, 10, 0.497500000, 0.002104044, 0.026287556, 3
RF, 10, 0.497500000, 0.002031803, 0.027859688, 4
MLP, 10, 0.500500000, 0.103328466, 0.005475998, 0
MLP, 10, 0.500500000, 0.102989435, 0.003731966, 1
MLP, 10, 0.500500000, 0.103126049, 0.003711224, 2
MLP, 10, 0.500500000, 0.102741241, 0.003733397, 3
MLP, 10, 0.500500000, 0.104587317, 0.003738403, 4
XGB, 10, 0.500000000, 0.061900616, 0.023376465, 0
XGB, 10, 0.500000000, 0.016309023, 0.016213179, 1
XGB, 10, 0.500000000, 0.015897751, 0.015691042, 2
XGB, 10, 0.500000000, 0.016025543, 0.016641855, 3
XGB, 10, 0.500000000, 0.017068863, 0.015850306, 4
SPORF, 10, 0.489500000, 0.002864599, 0.026775837, 0
SPORF, 10, 0.489500000, 0.002636433, 0.028119087, 1
SPORF, 10, 0.489500000, 0.002742529, 0.025236845, 2
SPORF, 10, 0.489500000, 0.002636909, 0.027194500, 3
SPORF, 10, 0.489500000, 0.002737045, 0.026790857, 4
MORF, 10, 0.506000000, 0.170696974, 0.026932955, 0
MORF, 10, 0.506000000, 0.153014898, 0.026124477, 1
MORF, 10, 0.506000000, 0.152524471, 0.027071238, 2
MORF, 10, 0.506000000, 0.153008223, 0.026166916, 3
MORF, 10, 0.506000000, 0.151336432, 0.026992321, 4
CNN, 10, 0.507500000, 0.227556229, 0.054614782, 0
CNN, 10, 0.502000000, 0.081539154, 0.041913271, 1
CNN, 10, 0.503500000, 0.075647593, 0.043388367, 2
CNN, 10, 0.504500000, 0.075761557, 0.040492535, 3
CNN, 10, 0.505000000, 0.076069832, 0.039491177, 4
Log. Reg, 50, 0.475500000, 0.270782471, 0.002234221, 0
Log. Reg, 50, 0.475500000, 0.285302401, 0.002589941, 1
Log. Reg, 50, 0.475500000, 0.276625395, 0.002726316, 2
Log. Reg, 50, 0.475500000, 0.278004885, 0.002142668, 3
Log. Reg, 50, 0.475500000, 0.270991802, 0.002245188, 4
Lin. SVM, 50, 0.494000000, 0.003211737, 0.001524210, 0
Lin. SVM, 50, 0.494000000, 0.003201723, 0.001517773, 1
Lin. SVM, 50, 0.494000000, 0.010082006, 0.001525879, 2
Lin. SVM, 50, 0.494000000, 0.003330708, 0.001517057, 3
Lin. SVM, 50, 0.494000000, 0.003459692, 0.001517057, 4
SVM, 50, 0.493000000, 0.003059864, 0.017453909, 0
SVM, 50, 0.493000000, 0.002995729, 0.017370701, 1
SVM, 50, 0.493000000, 0.002182007, 0.012941599, 2
SVM, 50, 0.493000000, 0.002151012, 0.013249159, 3
SVM, 50, 0.493000000, 0.002108574, 0.013167620, 4
kNN, 50, 0.516000000, 0.001513481, 0.169799805, 0
kNN, 50, 0.516000000, 0.001348972, 0.169729471, 1
kNN, 50, 0.516000000, 0.001466990, 0.168943167, 2
kNN, 50, 0.516000000, 0.001389742, 0.170954227, 3
kNN, 50, 0.516000000, 0.001347303, 0.169714928, 4
RF, 50, 0.484500000, 0.007879257, 0.029526949, 0
RF, 50, 0.484500000, 0.004483700, 0.026109457, 1
RF, 50, 0.484500000, 0.004311562, 0.026825666, 2
RF, 50, 0.484500000, 0.004247904, 0.027094841, 3
RF, 50, 0.484500000, 0.004359007, 0.028354406, 4
MLP, 50, 0.487500000, 0.187033415, 0.004148960, 0
MLP, 50, 0.487500000, 0.185969353, 0.003830194, 1
MLP, 50, 0.487500000, 0.143566608, 0.007624388, 2
MLP, 50, 0.487500000, 0.139071703, 0.003124714, 3
MLP, 50, 0.487500000, 0.140892506, 0.003133059, 4
XGB, 50, 0.483500000, 0.030342102, 0.018314362, 0
XGB, 50, 0.483500000, 0.029370070, 0.014063835, 1
XGB, 50, 0.483500000, 0.029551983, 0.014135838, 2
XGB, 50, 0.483500000, 0.029421329, 0.013959646, 3
