classifier,n,Lhat,trainTime,testTime,iterate
MORF, 10, 0.178000000, 0.042535067, 0.026790619, 0
MORF, 10, 0.178000000, 0.014953136, 0.025421143, 1
MORF, 10, 0.178000000, 0.014842510, 0.026780128, 2
MORF, 10, 0.178000000, 0.014848232, 0.026965618, 3
MORF, 10, 0.178000000, 0.014998198, 0.027006865, 4
CNN, 10, 0.275500000, 0.202307463, 0.063454151, 0
CNN, 10, 0.321000000, 0.145027399, 0.072317362, 1
CNN, 10, 0.271500000, 0.077620268, 0.041281939, 2
CNN, 10, 0.271500000, 0.058823586, 0.032151699, 3
CNN, 10, 0.271500000, 0.062943935, 0.035498142, 4
MORF, 50, 0.203500000, 0.148582458, 0.026657820, 0
MORF, 50, 0.203500000, 0.150922537, 0.026300669, 1
MORF, 50, 0.203500000, 0.153675795, 0.038542747, 2
MORF, 50, 0.203500000, 0.145602942, 0.026228666, 3
MORF, 50, 0.203500000, 0.144427538, 0.026293039, 4
CNN, 50, 0.195000000, 0.186388731, 0.035229206, 0
CNN, 50, 0.224500000, 0.072588205, 0.025858402, 1
CNN, 50, 0.203500000, 0.075135231, 0.029960155, 2
CNN, 50, 0.223500000, 0.084789038, 0.040456295, 3
CNN, 50, 0.215500000, 0.095030308, 0.035256147, 4
MORF, 100, 0.188000000, 0.463534594, 0.029012203, 0
MORF, 100, 0.188000000, 0.464181900, 0.026755333, 1
MORF, 100, 0.188000000, 0.466457129, 0.027269840, 2
MORF, 100, 0.188000000, 0.465077400, 0.027588129, 3
MORF, 100, 0.188000000, 0.473590851, 0.026968956, 4
CNN, 100, 0.210500000, 0.171982527, 0.035373211, 0
CNN, 100, 0.188500000, 0.097512960, 0.034416676, 1
CNN, 100, 0.185000000, 0.113631248, 0.030270338, 2
CNN, 100, 0.178000000, 0.090710402, 0.030103922, 3
CNN, 100, 0.177500000, 0.095546961, 0.032132864, 4
MORF, 200, 0.171500000, 1.862504721, 0.031685829, 0
MORF, 200, 0.172000000, 1.858006001, 0.046469212, 1
MORF, 200, 0.171500000, 1.853851318, 0.030761480, 2
MORF, 200, 0.172000000, 1.880975723, 0.032557249, 3
MORF, 200, 0.171000000, 1.884127855, 0.046673298, 4
CNN, 200, 0.176000000, 0.197468519, 0.048917532, 0
CNN, 200, 0.192500000, 0.151257277, 0.040953398, 1
CNN, 200, 0.169500000, 0.176685572, 0.041771650, 2
CNN, 200, 0.169500000, 0.136882544, 0.029993773, 3
CNN, 200, 0.170500000, 0.169929743, 0.030343533, 4
MORF, 400, 0.153500000, 5.317139864, 0.042911291, 0
MORF, 400, 0.153000000, 5.383780241, 0.035878897, 1
MORF, 400, 0.153000000, 5.394829035, 0.034010887, 2
MORF, 400, 0.153000000, 5.263231516, 0.044055939, 3
MORF, 400, 0.153000000, 5.518943071, 0.040158272, 4
CNN, 400, 0.176000000, 0.585426569, 0.053077459, 0
CNN, 400, 0.177000000, 0.320249319, 0.044254303, 1
CNN, 400, 0.173500000, 0.295294046, 0.040925980, 2
CNN, 400, 0.167500000, 0.325692177, 0.042262554, 3
CNN, 400, 0.171500000, 0.293613434, 0.043684483, 4
MORF, 1000, 0.143500000, 23.804149866, 0.049841642, 0
MORF, 1000, 0.143500000, 23.632468700, 0.060656071, 1
MORF, 1000, 0.143500000, 23.623912334, 0.082922935, 2
MORF, 1000, 0.144000000, 23.636068821, 0.119998932, 3
MORF, 1000, 0.144000000, 23.285262346, 0.116793633, 4
CNN, 1000, 0.170000000, 1.049267292, 0.053118944, 0
CNN, 1000, 0.169500000, 0.657116175, 0.051832438, 1
CNN, 1000, 0.167500000, 0.663649559, 0.041732073, 2
CNN, 1000, 0.173000000, 0.698903799, 0.048289537, 3
CNN, 1000, 0.178500000, 0.708000422, 0.051825047, 4
MORF, 2000, 0.135000000, 67.192063808, 0.081450462, 0
MORF, 2000, 0.135000000, 66.629910707, 0.143462420, 1
MORF, 2000, 0.135000000, 67.235565424, 0.083602905, 2
MORF, 2000, 0.135000000, 66.255446911, 0.042351961, 3
MORF, 2000, 0.135000000, 65.538995266, 0.055770397, 4
CNN, 2000, 0.192500000, 1.532010078, 0.041538239, 0
CNN, 2000, 0.192500000, 1.019945621, 0.034305334, 1
CNN, 2000, 0.184000000, 1.176687002, 0.031364918, 2
CNN, 2000, 0.188500000, 1.200658560, 0.029953480, 3
CNN, 2000, 0.191000000, 1.329797745, 0.030586958, 4
