classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 10, 0.316500000, 0.614556789, 0.007789373, 0
Lin. SVM, 10, 0.321000000, 0.001600027, 0.001457930, 0
SVM, 10, 0.354000000, 0.001751423, 0.003731489, 0
kNN, 10, 0.365500000, 0.001281738, 0.439147234, 0
RF, 10, 0.388000000, 0.001998425, 0.033632755, 0
MLP, 10, 0.357000000, 0.061235905, 0.003757715, 0
XGB, 10, 0.458500000, 0.044128180, 0.015014172, 0
SPORF, 10, 0.360000000, 0.002020836, 0.028020144, 0
MORF, 10, 0.187500000, 0.048691273, 0.026916742, 0
CNN, 10, 0.316500000, 0.184633017, 0.047224522, 0
Log. Reg, 50, 0.239500000, 0.241072655, 0.003095388, 0
Lin. SVM, 50, 0.257000000, 0.001769066, 0.001409769, 0
SVM, 50, 0.234500000, 0.002158165, 0.012735367, 0
kNN, 50, 0.322500000, 0.001440763, 0.172207832, 0
RF, 50, 0.242000000, 0.005103111, 0.030715942, 0
MLP, 50, 0.311000000, 0.125146866, 0.003206015, 0
XGB, 50, 0.247000000, 0.018963099, 0.013019562, 0
SPORF, 50, 0.234500000, 0.004423618, 0.027172327, 0
MORF, 50, 0.202500000, 0.386611462, 0.028249502, 0
CNN, 50, 0.206000000, 0.428095579, 0.041159391, 0
Log. Reg, 100, 0.231500000, 0.263916016, 0.002188683, 0
Lin. SVM, 100, 0.248000000, 0.002276421, 0.001391649, 0
SVM, 100, 0.210000000, 0.003285646, 0.023809910, 0
kNN, 100, 0.332000000, 0.001594067, 0.166710615, 0
RF, 100, 0.213500000, 0.011014462, 0.029254913, 0
MLP, 100, 0.284500000, 0.136439323, 0.003203869, 0
XGB, 100, 0.254500000, 0.023015261, 0.012801886, 0
SPORF, 100, 0.204500000, 0.006939173, 0.029436827, 0
MORF, 100, 0.190000000, 1.026703596, 0.028028965, 0
CNN, 100, 0.182500000, 0.199658155, 0.030792713, 0
Log. Reg, 200, 0.206500000, 0.268981934, 0.002381325, 0
Lin. SVM, 200, 0.231000000, 0.005146980, 0.001371384, 0
SVM, 200, 0.182500000, 0.007422686, 0.044771194, 0
kNN, 200, 0.307500000, 0.002155304, 0.166429281, 0
RF, 200, 0.188000000, 0.021011829, 0.027920008, 0
MLP, 200, 0.241000000, 0.259878397, 0.008262873, 0
XGB, 200, 0.213500000, 0.050127506, 0.019384861, 0
SPORF, 200, 0.184500000, 0.019372940, 0.030274153, 0
MORF, 200, 0.171000000, 3.864413500, 0.051910639, 0
CNN, 200, 0.167500000, 0.601520300, 0.067399263, 0
Log. Reg, 400, 0.167000000, 0.316214561, 0.005522251, 0
Lin. SVM, 400, 0.187500000, 0.026371002, 0.001356602, 0
SVM, 400, 0.160000000, 0.022077560, 0.078044415, 0
kNN, 400, 0.299000000, 0.003373623, 0.166388512, 0
RF, 400, 0.165500000, 0.036644936, 0.027103901, 0
MLP, 400, 0.181000000, 0.380771399, 0.003303528, 0
XGB, 400, 0.189000000, 0.124225378, 0.013301373, 0
SPORF, 400, 0.157000000, 0.033362150, 0.030093670, 0
MORF, 400, 0.157500000, 12.023171186, 0.037140131, 0
CNN, 400, 0.162500000, 0.837334633, 0.044378757, 0
Log. Reg, 1000, 0.157500000, 0.338076353, 0.002941370, 0
Lin. SVM, 1000, 0.154000000, 0.110213518, 0.001356125, 0
SVM, 1000, 0.149500000, 0.093137503, 0.158821583, 0
kNN, 1000, 0.292000000, 0.007950068, 0.472972631, 0
RF, 1000, 0.147000000, 0.110061646, 0.031551838, 0
MLP, 1000, 0.162500000, 0.909444094, 0.003493786, 0
XGB, 1000, 0.173500000, 0.271629095, 0.011920214, 0
SPORF, 1000, 0.140000000, 0.097740173, 0.031184196, 0
MORF, 1000, 0.145000000, 53.384381533, 0.070693493, 0
CNN, 1000, 0.165500000, 1.546992540, 0.067940474, 0
Log. Reg, 2000, 0.144500000, 0.412596226, 0.002884865, 0
Lin. SVM, 2000, 0.146000000, 0.313583374, 0.001502514, 0
SVM, 2000, 0.142500000, 0.316385984, 0.270795345, 0
kNN, 2000, 0.272500000, 0.017154932, 0.370599031, 0
RF, 2000, 0.141500000, 0.197977781, 0.030092239, 0
MLP, 2000, 0.162500000, 1.541770220, 0.003336906, 0
XGB, 2000, 0.161500000, 0.202787161, 0.013003826, 0
SPORF, 2000, 0.134500000, 0.226894379, 0.030509949, 0
MORF, 2000, 0.136500000, 152.709844351, 0.082633972, 0
CNN, 2000, 0.169500000, 2.958121300, 0.052425623, 0
