classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 10, 0.307500000, 0.644546032, 0.004317522, 0
Log. Reg, 10, 0.307500000, 0.273929358, 0.000934839, 1
Log. Reg, 10, 0.307500000, 0.245547295, 0.000809669, 2
Log. Reg, 10, 0.307500000, 0.241415024, 0.000908852, 3
Log. Reg, 10, 0.307500000, 0.259464502, 0.000809431, 4
Lin. SVM, 10, 0.308500000, 0.000984669, 0.000464201, 0
Lin. SVM, 10, 0.308500000, 0.000929832, 0.000465631, 1
Lin. SVM, 10, 0.308500000, 0.001187325, 0.001165867, 2
Lin. SVM, 10, 0.308500000, 0.000925303, 0.000476360, 3
Lin. SVM, 10, 0.308500000, 0.000598669, 0.000368834, 4
SVM, 10, 0.324500000, 0.001104593, 0.002702951, 0
SVM, 10, 0.324500000, 0.000972509, 0.002758980, 1
SVM, 10, 0.324500000, 0.000951767, 0.002687931, 2
SVM, 10, 0.324500000, 0.001053095, 0.002676964, 3
SVM, 10, 0.324500000, 0.000985861, 0.002899170, 4
kNN, 10, 0.327000000, 0.000665903, 0.349854946, 0
kNN, 10, 0.327000000, 0.000513077, 0.196408510, 1
kNN, 10, 0.327000000, 0.000493050, 0.300290346, 2
kNN, 10, 0.327000000, 0.000574112, 0.282333136, 3
kNN, 10, 0.327000000, 0.000455856, 0.326806068, 4
RF, 10, 0.388500000, 0.002455950, 0.055134773, 0
RF, 10, 0.388500000, 0.000680208, 0.030963659, 1
RF, 10, 0.388500000, 0.000732183, 0.030412912, 2
RF, 10, 0.388500000, 0.000688791, 0.024533033, 3
RF, 10, 0.388500000, 0.000725269, 0.025424004, 4
MLP, 10, 0.331500000, 0.055722952, 0.005140543, 0
MLP, 10, 0.331500000, 0.054219961, 0.002095699, 1
MLP, 10, 0.331500000, 0.054361820, 0.002067804, 2
MLP, 10, 0.331500000, 0.054290295, 0.002068520, 3
MLP, 10, 0.331500000, 0.054107428, 0.002123356, 4
XGB, 10, 0.458500000, 0.054997444, 0.018055677, 0
XGB, 10, 0.458500000, 0.015420198, 0.007354498, 1
XGB, 10, 0.458500000, 0.016135454, 0.007090807, 2
XGB, 10, 0.458500000, 0.016170263, 0.006972075, 3
XGB, 10, 0.458500000, 0.016057491, 0.006983995, 4
SPORF, 10, 0.342000000, 0.001669407, 0.029972553, 0
SPORF, 10, 0.342000000, 0.001417398, 0.024277687, 1
SPORF, 10, 0.342000000, 0.001316309, 0.024494886, 2
SPORF, 10, 0.342000000, 0.001271009, 0.024055958, 3
