classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 10, 0.307500000, 0.599004507, 0.004329681, 0
Log. Reg, 10, 0.307500000, 0.242321014, 0.000777006, 1
Log. Reg, 10, 0.307500000, 0.274352312, 0.000857830, 2
Log. Reg, 10, 0.307500000, 0.274546385, 0.000847340, 3
Log. Reg, 10, 0.307500000, 0.246494532, 0.000735521, 4
Lin. SVM, 10, 0.308500000, 0.000922203, 0.000471592, 0
Lin. SVM, 10, 0.308500000, 0.000867844, 0.000437021, 1
Lin. SVM, 10, 0.308500000, 0.001643181, 0.001141310, 2
Lin. SVM, 10, 0.308500000, 0.000813723, 0.000460863, 3
Lin. SVM, 10, 0.308500000, 0.000848770, 0.000441551, 4
SVM, 10, 0.324500000, 0.001512289, 0.003825188, 0
SVM, 10, 0.324500000, 0.001413107, 0.003824472, 1
SVM, 10, 0.324500000, 0.000922680, 0.002566814, 2
SVM, 10, 0.324500000, 0.000940084, 0.002670765, 3
SVM, 10, 0.324500000, 0.001030207, 0.002555132, 4
kNN, 10, 0.327000000, 0.000683308, 0.302440405, 0
kNN, 10, 0.327000000, 0.000495672, 0.281453848, 1
kNN, 10, 0.327000000, 0.000515461, 0.325868130, 2
kNN, 10, 0.327000000, 0.000505209, 0.267721415, 3
kNN, 10, 0.327000000, 0.000486612, 0.267437458, 4
RF, 10, 0.388500000, 0.001288652, 0.055338144, 0
RF, 10, 0.388500000, 0.002030849, 0.029056787, 1
RF, 10, 0.388500000, 0.000732422, 0.024149179, 2
RF, 10, 0.388500000, 0.000798464, 0.025593996, 3
RF, 10, 0.388500000, 0.000820637, 0.024412632, 4
MLP, 10, 0.331500000, 0.060239315, 0.004701376, 0
MLP, 10, 0.331500000, 0.057722807, 0.002102375, 1
MLP, 10, 0.331500000, 0.057345867, 0.002115250, 2
MLP, 10, 0.331500000, 0.057549953, 0.002093315, 3
MLP, 10, 0.331500000, 0.057687283, 0.002119541, 4
XGB, 10, 0.458500000, 0.076671124, 0.024883270, 0
XGB, 10, 0.458500000, 0.023046494, 0.014211655, 1
XGB, 10, 0.458500000, 0.015676260, 0.013935566, 2
XGB, 10, 0.458500000, 0.015675068, 0.013919115, 3
XGB, 10, 0.458500000, 0.015212774, 0.014051914, 4
SPORF, 10, 0.342000000, 0.001538992, 0.025930882, 0
SPORF, 10, 0.342000000, 0.001275063, 0.025703669, 1
SPORF, 10, 0.342000000, 0.002008677, 0.026152849, 2
SPORF, 10, 0.342000000, 0.001153946, 0.025293589, 3
SPORF, 10, 0.342000000, 0.001146793, 0.025451660, 4
MF, 10, 0.187000000, 0.001554489, 0.025319576, 0
MF, 10, 0.187000000, 0.001305580, 0.024592638, 1
MF, 10, 0.187000000, 0.001346350, 0.024709940, 2
MF, 10, 0.187000000, 0.001292229, 0.026163340, 3
MF, 10, 0.187000000, 0.001471519, 0.025367260, 4
CNN, 10, 0.203500000, 0.185058355, 0.044675589, 0
CNN, 10, 0.446000000, 0.052838087, 0.033850431, 1
CNN, 10, 0.255000000, 0.045415640, 0.021533251, 2
CNN, 10, 0.277500000, 0.039973497, 0.020624638, 3
CNN, 10, 0.267000000, 0.040513039, 0.020434380, 4
Log. Reg, 50, 0.236500000, 0.270678520, 0.000897884, 0
Log. Reg, 50, 0.236500000, 0.268823624, 0.000923634, 1
Log. Reg, 50, 0.236500000, 0.240385056, 0.000951529, 2
Log. Reg, 50, 0.236500000, 0.229742765, 0.000913143, 3
Log. Reg, 50, 0.236500000, 0.264492512, 0.000909567, 4
Lin. SVM, 50, 0.255500000, 0.000963211, 0.000378132, 0
Lin. SVM, 50, 0.255500000, 0.000878811, 0.000379801, 1
Lin. SVM, 50, 0.255500000, 0.000884056, 0.000388145, 2
Lin. SVM, 50, 0.255500000, 0.000900030, 0.000385761, 3
Lin. SVM, 50, 0.255500000, 0.000846624, 0.000371695, 4
SVM, 50, 0.232500000, 0.001412868, 0.011809111, 0
