classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 10, 0.307500000, 0.652719021, 0.006383419, 0
Log. Reg, 10, 0.307500000, 0.241613626, 0.000694036, 1
Log. Reg, 10, 0.307500000, 0.257352114, 0.000811577, 2
Log. Reg, 10, 0.307500000, 0.299093723, 0.000735998, 3
Log. Reg, 10, 0.307500000, 0.303597927, 0.000779152, 4
Lin. SVM, 10, 0.308500000, 0.001173735, 0.000458241, 0
Lin. SVM, 10, 0.308500000, 0.000678062, 0.000417709, 1
Lin. SVM, 10, 0.308500000, 0.000655174, 0.000429153, 2
Lin. SVM, 10, 0.308500000, 0.000696659, 0.000415564, 3
Lin. SVM, 10, 0.308500000, 0.000664473, 0.000410318, 4
SVM, 10, 0.324500000, 0.001622438, 0.005205870, 0
SVM, 10, 0.324500000, 0.000628471, 0.002568960, 1
SVM, 10, 0.324500000, 0.000605822, 0.002563238, 2
SVM, 10, 0.324500000, 0.000587225, 0.002547503, 3
SVM, 10, 0.324500000, 0.000578165, 0.002577066, 4
kNN, 10, 0.327000000, 0.000423193, 0.369122028, 0
kNN, 10, 0.327000000, 0.000408411, 0.279059887, 1
kNN, 10, 0.327000000, 0.000417233, 0.250538826, 2
kNN, 10, 0.327000000, 0.000405312, 0.279533625, 3
kNN, 10, 0.327000000, 0.000365019, 0.248923302, 4
RF, 10, 0.362500000, 1.469922304, 0.317323685, 0
RF, 10, 0.372500000, 1.436979055, 0.320563316, 1
RF, 10, 0.355500000, 1.441847086, 0.315579653, 2
RF, 10, 0.364000000, 1.436629295, 0.317304850, 3
RF, 10, 0.373500000, 1.391134739, 0.316189289, 4
MLP, 10, 0.331500000, 0.086262703, 0.004210234, 0
MLP, 10, 0.331500000, 0.071713686, 0.002607584, 1
MLP, 10, 0.331500000, 0.071603775, 0.002547503, 2
MLP, 10, 0.331500000, 0.071702480, 0.002579212, 3
MLP, 10, 0.331500000, 0.071779728, 0.002627134, 4
SPORF, 10, 0.347500000, 0.001923084, 0.048540592, 0
SPORF, 10, 0.347500000, 0.000997066, 0.032667160, 1
SPORF, 10, 0.347500000, 0.000880003, 0.026852608, 2
SPORF, 10, 0.347500000, 0.000833511, 0.027226686, 3
SPORF, 10, 0.347500000, 0.000833988, 0.024766684, 4
MF, 10, 0.183000000, 0.001239538, 0.025288343, 0
MF, 10, 0.183000000, 0.001020193, 0.028135300, 1
MF, 10, 0.183000000, 0.001015663, 0.026369810, 2
MF, 10, 0.183000000, 0.001059771, 0.026455879, 3
MF, 10, 0.183000000, 0.001039028, 0.027309895, 4
Log. Reg, 50, 0.236500000, 0.327867508, 0.001093388, 0
Log. Reg, 50, 0.236500000, 0.299867153, 0.000979900, 1
Log. Reg, 50, 0.236500000, 0.246954679, 0.000756979, 2
Log. Reg, 50, 0.236500000, 0.295284986, 0.000756979, 3
Log. Reg, 50, 0.236500000, 0.302563429, 0.000819683, 4
