classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 10, 0.485000000, 0.728530884, 0.007041454, 0
Log. Reg, 10, 0.485000000, 0.285849094, 0.002320528, 1
Log. Reg, 10, 0.485000000, 0.302345037, 0.002647638, 2
Log. Reg, 10, 0.485000000, 0.300689697, 0.002613544, 3
Log. Reg, 10, 0.485000000, 0.308038712, 0.002618790, 4
Lin. SVM, 10, 0.514000000, 0.002875328, 0.001777172, 0
Lin. SVM, 10, 0.514000000, 0.000634670, 0.001003981, 1
Lin. SVM, 10, 0.514000000, 0.000603437, 0.000959396, 2
Lin. SVM, 10, 0.514000000, 0.000663042, 0.000954866, 3
Lin. SVM, 10, 0.514000000, 0.000619650, 0.000928164, 4
SVM, 10, 0.388500000, 0.001682758, 0.016878128, 0
SVM, 10, 0.388500000, 0.000766993, 0.016108274, 1
SVM, 10, 0.388500000, 0.000744581, 0.016114235, 2
SVM, 10, 0.388500000, 0.000829220, 0.016111612, 3
SVM, 10, 0.388500000, 0.000730991, 0.016083717, 4
kNN, 10, 0.552000000, 0.000582218, 0.492499352, 0
kNN, 10, 0.552000000, 0.000461578, 0.278851986, 1
kNN, 10, 0.552000000, 0.000391722, 0.271286964, 2
kNN, 10, 0.552000000, 0.000478268, 0.286510944, 3
kNN, 10, 0.552000000, 0.000463009, 0.260605335, 4
RF, 10, 0.478000000, 1.473354578, 0.324738264, 0
RF, 10, 0.480500000, 1.506087303, 0.319373369, 1
RF, 10, 0.497500000, 1.431601524, 0.322225332, 2
RF, 10, 0.487500000, 1.484177589, 0.321993828, 3
RF, 10, 0.492500000, 1.387404442, 0.323051214, 4
MLP, 10, 0.432500000, 0.058585882, 0.006695032, 0
MLP, 10, 0.432500000, 0.055989265, 0.004525423, 1
MLP, 10, 0.432500000, 0.055306196, 0.004467487, 2
MLP, 10, 0.432500000, 0.054874420, 0.004444599, 3
MLP, 10, 0.432500000, 0.054983854, 0.004305840, 4
SPORF, 10, 0.458500000, 0.006187201, 0.032692432, 0
SPORF, 10, 0.458500000, 0.001204491, 0.030239820, 1
SPORF, 10, 0.458500000, 0.000995398, 0.030823708, 2
SPORF, 10, 0.458500000, 0.001030445, 0.031369925, 3
SPORF, 10, 0.458500000, 0.001152515, 0.031115532, 4
MF, 10, 0.183000000, 0.001621723, 0.031100988, 0
MF, 10, 0.183000000, 0.001344919, 0.031107426, 1
MF, 10, 0.183000000, 0.001279831, 0.032141209, 2
MF, 10, 0.183000000, 0.001317978, 0.029904127, 3
MF, 10, 0.183000000, 0.001298428, 0.031018496, 4
Log. Reg, 50, 0.489500000, 0.353708506, 0.002194405, 0
Log. Reg, 50, 0.489500000, 0.316339493, 0.003162861, 1
Log. Reg, 50, 0.489500000, 0.344314575, 0.002667189, 2
Log. Reg, 50, 0.489500000, 0.292951345, 0.002510071, 3
Log. Reg, 50, 0.489500000, 0.330960035, 0.002571106, 4
Lin. SVM, 50, 0.500000000, 0.012210369, 0.001419783, 0
Lin. SVM, 50, 0.500000000, 0.005639791, 0.000906229, 1
Lin. SVM, 50, 0.500000000, 0.005650282, 0.000812054, 2
Lin. SVM, 50, 0.500000000, 0.007278919, 0.001049995, 3
Lin. SVM, 50, 0.500000000, 0.005316496, 0.000790596, 4
SVM, 50, 0.180500000, 0.003185034, 0.078779697, 0
SVM, 50, 0.180500000, 0.003215313, 0.079997778, 1
SVM, 50, 0.180500000, 0.003103256, 0.084973812, 2
SVM, 50, 0.180500000, 0.003123283, 0.078740120, 3
SVM, 50, 0.180500000, 0.003104448, 0.080296993, 4
kNN, 50, 0.020500000, 0.000955582, 0.176409006, 0
kNN, 50, 0.020500000, 0.000801563, 0.169062138, 1
kNN, 50, 0.020500000, 0.000800133, 0.169542074, 2
kNN, 50, 0.020500000, 0.000795603, 0.173596621, 3
kNN, 50, 0.020500000, 0.000804424, 0.173893452, 4
RF, 50, 0.028500000, 1.471572399, 0.321116447, 0
RF, 50, 0.029000000, 1.508268595, 0.320149899, 1
RF, 50, 0.036000000, 1.503747940, 0.478965044, 2
RF, 50, 0.039000000, 1.514215469, 0.320725441, 3
RF, 50, 0.031500000, 1.539789438, 0.321240664, 4
MLP, 50, 0.266000000, 0.090962172, 0.005373478, 0
MLP, 50, 0.266000000, 0.085577011, 0.004122257, 1
MLP, 50, 0.266000000, 0.085083723, 0.003915787, 2
MLP, 50, 0.266000000, 0.086453438, 0.004558325, 3
MLP, 50, 0.266000000, 0.085186481, 0.003946781, 4
SPORF, 50, 0.121500000, 0.011555672, 0.035599947, 0
SPORF, 50, 0.121500000, 0.004715681, 0.036289454, 1
SPORF, 50, 0.121500000, 0.004514933, 0.035978317, 2
SPORF, 50, 0.121500000, 0.004536867, 0.035627842, 3
SPORF, 50, 0.121500000, 0.004559755, 0.035338640, 4
MF, 50, 0.009000000, 0.005757332, 0.036036730, 0
MF, 50, 0.009000000, 0.005861044, 0.034430981, 1
MF, 50, 0.009000000, 0.005994081, 0.035081387, 2
MF, 50, 0.009000000, 0.005984545, 0.049324036, 3
MF, 50, 0.009000000, 0.007422209, 0.035192966, 4
Log. Reg, 100, 0.504000000, 0.394244909, 0.002266645, 0
Log. Reg, 100, 0.504000000, 0.291238546, 0.002129316, 1
Log. Reg, 100, 0.504000000, 0.331554413, 0.002130985, 2
Log. Reg, 100, 0.504000000, 0.324758530, 0.002901793, 3
Log. Reg, 100, 0.504000000, 0.318888187, 0.002145767, 4
Lin. SVM, 100, 0.503000000, 0.099433899, 0.001714468, 0
Lin. SVM, 100, 0.503000000, 0.073281527, 0.001266479, 1
Lin. SVM, 100, 0.501500000, 0.071488142, 0.000953436, 2
Lin. SVM, 100, 0.503500000, 0.072418213, 0.000892639, 3
Lin. SVM, 100, 0.503000000, 0.072421074, 0.000892401, 4
SVM, 100, 0.075000000, 0.010575533, 0.168068409, 0
SVM, 100, 0.075000000, 0.009346962, 0.154676199, 1
SVM, 100, 0.075000000, 0.009278774, 0.157929182, 2
SVM, 100, 0.075000000, 0.009235382, 0.156660795, 3
SVM, 100, 0.075000000, 0.009472132, 0.157136679, 4
kNN, 100, 0.011500000, 0.002062559, 0.224155903, 0
kNN, 100, 0.011500000, 0.001859188, 0.172383070, 1
kNN, 100, 0.011500000, 0.001793623, 0.172955036, 2
kNN, 100, 0.011500000, 0.001801729, 0.178067207, 3
kNN, 100, 0.011500000, 0.001805782, 0.178766966, 4
RF, 100, 0.002000000, 1.555678606, 0.322352171, 0
RF, 100, 0.002000000, 1.519665241, 0.319721460, 1
RF, 100, 0.001500000, 1.506004572, 0.323665142, 2
RF, 100, 0.001000000, 1.519656181, 0.321881056, 3
RF, 100, 0.001500000, 1.488084555, 0.321212292, 4
MLP, 100, 0.154000000, 0.103227854, 0.004286289, 0
MLP, 100, 0.154000000, 0.111264467, 0.004944801, 1
MLP, 100, 0.154000000, 0.099968910, 0.004262686, 2
MLP, 100, 0.154000000, 0.090047121, 0.004070759, 3
MLP, 100, 0.154000000, 0.089572668, 0.003981113, 4
SPORF, 100, 0.005000000, 0.015801668, 0.039887905, 0
SPORF, 100, 0.005000000, 0.009418249, 0.035419703, 1
