classifier,n,Lhat,trainTime,testTime,iterate
CNN, 10, 0.504000000, 0.114280939, 0.028145790, 0
CNN, 10, 0.503000000, 0.039386034, 0.022089005, 1
CNN, 10, 0.496500000, 0.039383173, 0.022131205, 2
CNN, 10, 0.497500000, 0.041865826, 0.021825314, 3
CNN, 10, 0.498500000, 0.040757656, 0.021691322, 4
CNN, 50, 0.457000000, 0.262097836, 0.019659996, 0
CNN, 50, 0.463500000, 0.053200006, 0.019570351, 1
CNN, 50, 0.442500000, 0.048917055, 0.019542217, 2
CNN, 50, 0.456500000, 0.049078465, 0.019995928, 3
CNN, 50, 0.469000000, 0.062812805, 0.032724142, 4
CNN, 100, 0.290000000, 0.260128736, 0.031953096, 0
CNN, 100, 0.285000000, 0.128459454, 0.032073736, 1
CNN, 100, 0.294500000, 0.077182770, 0.032019615, 2
CNN, 100, 0.265000000, 0.077325821, 0.032399178, 3
CNN, 100, 0.262500000, 0.077353001, 0.032413244, 4
CNN, 200, 0.119000000, 0.173181295, 0.032079220, 0
CNN, 200, 0.097000000, 0.143194914, 0.032043934, 1
CNN, 200, 0.121000000, 0.107497215, 0.031504393, 2
CNN, 200, 0.079000000, 0.133651733, 0.031972408, 3
CNN, 200, 0.070000000, 0.106830120, 0.031371832, 4
CNN, 400, 0.024000000, 0.217934608, 0.033278465, 0
CNN, 400, 0.039000000, 0.160848618, 0.031825781, 1
CNN, 400, 0.022000000, 0.202505350, 0.032485247, 2
CNN, 400, 0.022000000, 0.162214994, 0.031957150, 3
CNN, 400, 0.026000000, 0.160250425, 0.031614780, 4
CNN, 1000, 0.004000000, 0.347972393, 0.032837391, 0
CNN, 1000, 0.006000000, 0.342892408, 0.031984806, 1
CNN, 1000, 0.002000000, 0.354487658, 0.032361507, 2
CNN, 1000, 0.003000000, 0.275491238, 0.022345781, 3
CNN, 1000, 0.001500000, 0.263747692, 0.019828558, 4
CNN, 2000, 0.000000000, 0.558941364, 0.022553444, 0
CNN, 2000, 0.001000000, 0.592535973, 0.022041082, 1
CNN, 2000, 0.000500000, 0.615811110, 0.022769928, 2
CNN, 2000, 0.000500000, 0.619883299, 0.022572756, 3
CNN, 2000, 0.000000000, 0.606372595, 0.022230625, 4
