classifier,n,Lhat,trainTime,testTime,iterate
SPORF, 10, 0.494000000, 0.006675720, 0.032859802, 0
SPORF, 10, 0.494000000, 0.001626968, 0.028348207, 1
SPORF, 10, 0.494000000, 0.001544714, 0.025660038, 2
SPORF, 10, 0.494000000, 0.001592398, 0.025062323, 3
SPORF, 10, 0.494000000, 0.001549006, 0.024814129, 4
SPORF, 50, 0.488000000, 0.004428387, 0.026890039, 0
SPORF, 50, 0.488000000, 0.005019426, 0.027775526, 1
SPORF, 50, 0.488000000, 0.005272627, 0.027705908, 2
SPORF, 50, 0.488000000, 0.005076647, 0.026756048, 3
SPORF, 50, 0.488000000, 0.004857540, 0.027204275, 4
SPORF, 100, 0.493500000, 0.009830475, 0.029256582, 0
SPORF, 100, 0.493500000, 0.010169744, 0.028138876, 1
SPORF, 100, 0.493500000, 0.010119200, 0.028595924, 2
SPORF, 100, 0.493500000, 0.010005951, 0.027783632, 3
SPORF, 100, 0.493500000, 0.010326385, 0.028094292, 4
SPORF, 200, 0.495000000, 0.020828009, 0.029000282, 0
SPORF, 200, 0.495000000, 0.022860765, 0.029161930, 1
SPORF, 200, 0.495000000, 0.022559643, 0.030130625, 2
SPORF, 200, 0.495000000, 0.022224426, 0.029761314, 3
SPORF, 200, 0.495000000, 0.021967173, 0.030039549, 4
SPORF, 400, 0.488000000, 0.039919376, 0.030416965, 0
SPORF, 400, 0.488000000, 0.042881250, 0.029685259, 1
SPORF, 400, 0.488000000, 0.042686939, 0.030880213, 2
SPORF, 400, 0.488000000, 0.042431355, 0.030298948, 3
SPORF, 400, 0.488000000, 0.042689323, 0.030365467, 4
SPORF, 1000, 0.445500000, 0.111347914, 0.033654928, 0
SPORF, 1000, 0.445500000, 0.120513201, 0.033369064, 1
SPORF, 1000, 0.445500000, 0.120299578, 0.032896519, 2
SPORF, 1000, 0.445500000, 0.121502399, 0.033735275, 3
SPORF, 1000, 0.445500000, 0.120553017, 0.033438921, 4
SPORF, 2000, 0.390500000, 0.263482094, 0.036574125, 0
SPORF, 2000, 0.390500000, 0.272402048, 0.035723686, 1
SPORF, 2000, 0.390500000, 0.272570610, 0.035013914, 2
SPORF, 2000, 0.390500000, 0.267303705, 0.035944939, 3
SPORF, 2000, 0.390500000, 0.271650553, 0.036320925, 4
