classifier,n,Lhat,trainTime,testTime,iterate
CNN, 10, 0.508500000, 0.135123968, 0.034366608, 0
CNN, 10, 0.507500000, 0.039611578, 0.023262739, 1
CNN, 10, 0.499500000, 0.039280176, 0.022455454, 2
CNN, 10, 0.500500000, 0.040036440, 0.026083469, 3
CNN, 10, 0.498000000, 0.053894043, 0.037505865, 4
CNN, 50, 0.485500000, 0.393185854, 0.025063753, 0
CNN, 50, 0.478000000, 0.065979242, 0.025966883, 1
CNN, 50, 0.495000000, 0.065924406, 0.308817387, 2
CNN, 50, 0.479000000, 0.077572346, 0.025278568, 3
CNN, 50, 0.493000000, 0.062311411, 0.025487185, 4
CNN, 100, 0.392000000, 0.255650043, 0.025577545, 0
CNN, 100, 0.387500000, 0.087731838, 0.025488138, 1
CNN, 100, 0.382000000, 0.105663300, 0.025786161, 2
CNN, 100, 0.379500000, 0.111455917, 0.025989056, 3
CNN, 100, 0.349500000, 0.075519323, 0.025794744, 4
CNN, 200, 0.210500000, 0.235937834, 0.026234865, 0
CNN, 200, 0.182500000, 0.148764849, 0.025975466, 1
CNN, 200, 0.163500000, 0.159314394, 0.026677132, 2
CNN, 200, 0.200500000, 0.096336603, 0.031271935, 3
CNN, 200, 0.156000000, 0.096391439, 0.025901556, 4
CNN, 400, 0.049500000, 0.215903759, 0.086465120, 0
CNN, 400, 0.049000000, 0.148712397, 0.025285721, 1
CNN, 400, 0.025000000, 0.149935007, 0.025292873, 2
CNN, 400, 0.025500000, 0.253141642, 0.025245667, 3
CNN, 400, 0.026500000, 0.193084240, 0.050112963, 4
CNN, 1000, 0.012500000, 0.359692097, 0.038274527, 0
CNN, 1000, 0.012000000, 0.300098896, 0.024541140, 1
CNN, 1000, 0.004000000, 0.298395872, 0.024985313, 2
CNN, 1000, 0.005000000, 0.368691921, 0.022971869, 3
CNN, 1000, 0.007500000, 0.293956995, 0.023306131, 4
CNN, 2000, 0.003500000, 0.654879808, 0.023913383, 0
CNN, 2000, 0.002000000, 0.672427177, 0.032799006, 1
CNN, 2000, 0.002000000, 0.657159090, 0.023577213, 2
CNN, 2000, 0.001500000, 0.716493607, 0.040972710, 3
CNN, 2000, 0.002000000, 0.845810413, 0.034378052, 4
