classifier,n,Lhat,trainTime,testTime,iterate
MF, 10, 0.504000000, 0.012132168, 0.030159950, 0
MF, 10, 0.504000000, 0.004815817, 0.029615879, 1
MF, 10, 0.504000000, 0.004197598, 0.025885582, 2
MF, 10, 0.504000000, 0.004068375, 0.024851799, 3
MF, 10, 0.504000000, 0.004038334, 0.025861263, 4
MF, 50, 0.416500000, 0.025385380, 0.027782679, 0
MF, 50, 0.416500000, 0.026264668, 0.026658297, 1
MF, 50, 0.416500000, 0.025811911, 0.027713060, 2
MF, 50, 0.416500000, 0.026657581, 0.052573681, 3
MF, 50, 0.416500000, 0.026234388, 0.026320934, 4
MF, 100, 0.303500000, 0.060891628, 0.027996063, 0
MF, 100, 0.303500000, 0.062157869, 0.028062582, 1
MF, 100, 0.303500000, 0.061413765, 0.027358770, 2
MF, 100, 0.303500000, 0.061392546, 0.026999712, 3
MF, 100, 0.303500000, 0.062447309, 0.027047157, 4
MF, 200, 0.126000000, 0.164637804, 0.029984951, 0
MF, 200, 0.126000000, 0.163017273, 0.028319120, 1
MF, 200, 0.126000000, 0.163165092, 0.029856920, 2
MF, 200, 0.126000000, 0.177045822, 0.029886246, 3
MF, 200, 0.126000000, 0.175958633, 0.029828072, 4
MF, 400, 0.073000000, 0.382701874, 0.030954361, 0
MF, 400, 0.073000000, 0.371068716, 0.031257868, 1
MF, 400, 0.073000000, 0.369561434, 0.030621052, 2
MF, 400, 0.073000000, 0.374704123, 0.031929970, 3
MF, 400, 0.073000000, 0.368429422, 0.030374527, 4
MF, 1000, 0.051000000, 1.069993734, 0.036469936, 0
MF, 1000, 0.051000000, 1.072775841, 0.040906429, 1
MF, 1000, 0.051000000, 1.075202942, 0.061190605, 2
MF, 1000, 0.051000000, 1.074328184, 0.036169767, 3
MF, 1000, 0.051000000, 1.061528683, 0.032576561, 4
MF, 2000, 0.036500000, 2.027138710, 0.049194336, 0
MF, 2000, 0.036500000, 2.060140133, 0.051893234, 1
MF, 2000, 0.036500000, 2.021288872, 0.048432350, 2
MF, 2000, 0.036500000, 2.015855789, 0.036848068, 3
MF, 2000, 0.036500000, 2.071861029, 0.037523031, 4
