classifier,n,Lhat,trainTime,testTime,iterate
RF, 10, 0.497500000, 0.005967140, 0.030132055, 0
RF, 10, 0.497500000, 0.001211166, 0.027573824, 1
RF, 10, 0.497500000, 0.001141787, 0.026579857, 2
RF, 10, 0.497500000, 0.001132965, 0.027433872, 3
RF, 10, 0.497500000, 0.001236677, 0.025539398, 4
RF, 50, 0.484500000, 0.003113031, 0.025655508, 0
RF, 50, 0.484500000, 0.003493071, 0.025332451, 1
RF, 50, 0.484500000, 0.003191233, 0.026200533, 2
RF, 50, 0.484500000, 0.003362894, 0.025170088, 3
RF, 50, 0.484500000, 0.003135681, 0.026166439, 4
RF, 100, 0.494000000, 0.006164551, 0.026486635, 0
RF, 100, 0.494000000, 0.006247759, 0.026634455, 1
RF, 100, 0.494000000, 0.006166697, 0.025485039, 2
RF, 100, 0.494000000, 0.006384850, 0.026162148, 3
RF, 100, 0.494000000, 0.006373644, 0.026648521, 4
RF, 200, 0.492000000, 0.012601376, 0.026138306, 0
RF, 200, 0.492000000, 0.012627840, 0.026932716, 1
RF, 200, 0.492000000, 0.012467623, 0.027010679, 2
RF, 200, 0.492000000, 0.012695074, 0.025289059, 3
RF, 200, 0.492000000, 0.012317419, 0.026603460, 4
RF, 400, 0.487500000, 0.026434183, 0.027308702, 0
RF, 400, 0.487500000, 0.024823427, 0.027160645, 1
RF, 400, 0.487500000, 0.026479959, 0.025999308, 2
RF, 400, 0.487500000, 0.025150776, 0.026037931, 3
RF, 400, 0.487500000, 0.025593042, 0.026279926, 4
RF, 1000, 0.443000000, 0.067609549, 0.027189493, 0
RF, 1000, 0.443000000, 0.068440437, 0.027922630, 1
RF, 1000, 0.443000000, 0.065738201, 0.027927876, 2
RF, 1000, 0.443000000, 0.067752838, 0.027852774, 3
RF, 1000, 0.443000000, 0.067198038, 0.032567263, 4
RF, 2000, 0.391000000, 0.140692234, 0.027649403, 0
RF, 2000, 0.391000000, 0.138709307, 0.026809454, 1
RF, 2000, 0.391000000, 0.158640862, 0.028214455, 2
RF, 2000, 0.391000000, 0.138991356, 0.026342154, 3
RF, 2000, 0.391000000, 0.153320312, 0.028476715, 4
