classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 10, 0.491500000, 0.633194685, 0.004900932, 0
Log. Reg, 10, 0.491500000, 0.250400066, 0.000858784, 1
Log. Reg, 10, 0.491500000, 0.238598108, 0.000835657, 2
Log. Reg, 10, 0.491500000, 0.241539240, 0.000880480, 3
Log. Reg, 10, 0.491500000, 0.241772890, 0.000878334, 4
Lin. SVM, 10, 0.492500000, 0.000774145, 0.000364065, 0
Lin. SVM, 10, 0.492500000, 0.000643969, 0.000378609, 1
Lin. SVM, 10, 0.492500000, 0.000625372, 0.000372648, 2
Lin. SVM, 10, 0.492500000, 0.000585556, 0.000371695, 3
Lin. SVM, 10, 0.492500000, 0.000629187, 0.000360966, 4
SVM, 10, 0.501500000, 0.001069784, 0.002714157, 0
SVM, 10, 0.501500000, 0.000869751, 0.002700567, 1
SVM, 10, 0.501500000, 0.000904560, 0.002675533, 2
SVM, 10, 0.501500000, 0.000977039, 0.002671719, 3
SVM, 10, 0.501500000, 0.000957251, 0.002575874, 4
kNN, 10, 0.492500000, 0.000613451, 0.355208158, 0
kNN, 10, 0.492500000, 0.000473976, 0.315331459, 1
kNN, 10, 0.492500000, 0.000481606, 0.243624926, 2
kNN, 10, 0.492500000, 0.000477791, 0.242984772, 3
kNN, 10, 0.492500000, 0.000530005, 0.256228685, 4
RF, 10, 0.497500000, 0.001571655, 0.030597925, 0
RF, 10, 0.497500000, 0.001206875, 0.025095224, 1
RF, 10, 0.497500000, 0.001091957, 0.025878191, 2
RF, 10, 0.497500000, 0.001441002, 0.027001858, 3
RF, 10, 0.497500000, 0.001163721, 0.025631666, 4
MLP, 10, 0.493500000, 0.096059084, 0.003315210, 0
MLP, 10, 0.493500000, 0.090591908, 0.002104282, 1
MLP, 10, 0.493500000, 0.070190668, 0.002078772, 2
MLP, 10, 0.493500000, 0.070055246, 0.002043247, 3
MLP, 10, 0.493500000, 0.070028543, 0.002070189, 4
XGB, 10, 0.500000000, 0.054783583, 0.016253471, 0
XGB, 10, 0.500000000, 0.014934063, 0.014194012, 1
XGB, 10, 0.500000000, 0.014815569, 0.014298439, 2
XGB, 10, 0.500000000, 0.014633656, 0.014945269, 3
XGB, 10, 0.500000000, 0.014861345, 0.014203548, 4
SPORF, 10, 0.494000000, 0.001725912, 0.026000977, 0
SPORF, 10, 0.494000000, 0.001637936, 0.026037931, 1
SPORF, 10, 0.494000000, 0.001499891, 0.026267529, 2
SPORF, 10, 0.494000000, 0.001620531, 0.026334524, 3
SPORF, 10, 0.494000000, 0.001503944, 0.024989128, 4
MF, 10, 0.504000000, 0.003624678, 0.025838137, 0
MF, 10, 0.504000000, 0.003905535, 0.025961876, 1
