classifier,n,Lhat,trainTime,testTime,iterate
MF, 10, 0.504000000, 0.011686087, 0.032125235, 0
MF, 10, 0.504000000, 0.004540682, 0.028625965, 1
MF, 10, 0.504000000, 0.004027128, 0.025362492, 2
MF, 10, 0.504000000, 0.004281521, 0.025938988, 3
MF, 10, 0.504000000, 0.003890753, 0.026096344, 4
MF, 50, 0.416500000, 0.024618387, 0.026612043, 0
MF, 50, 0.416500000, 0.024904251, 0.027563810, 1
MF, 50, 0.416500000, 0.024335861, 0.027397394, 2
MF, 50, 0.416500000, 0.024104834, 0.026215076, 3
MF, 50, 0.416500000, 0.024200439, 0.026221752, 4
MF, 100, 0.303500000, 0.060511112, 0.028586388, 0
MF, 100, 0.303500000, 0.060114384, 0.027079582, 1
MF, 100, 0.303500000, 0.059891939, 0.028007030, 2
MF, 100, 0.303500000, 0.060631990, 0.028038979, 3
MF, 100, 0.303500000, 0.063129425, 0.027625084, 4
MF, 200, 0.126000000, 0.160622835, 0.029994965, 0
MF, 200, 0.126000000, 0.161586761, 0.029288292, 1
MF, 200, 0.126000000, 0.161400557, 0.029850483, 2
MF, 200, 0.126000000, 0.164130449, 0.029413223, 3
MF, 200, 0.126000000, 0.162570477, 0.028991222, 4
MF, 400, 0.073000000, 0.362384081, 0.031075954, 0
MF, 400, 0.073000000, 0.366210222, 0.032925606, 1
MF, 400, 0.073000000, 0.361930132, 0.032283545, 2
MF, 400, 0.073000000, 0.403064728, 0.032580614, 3
MF, 400, 0.073000000, 0.360117912, 0.031339645, 4
MF, 1000, 0.051000000, 1.031010151, 0.032393932, 0
MF, 1000, 0.051000000, 1.016042233, 0.048658133, 1
MF, 1000, 0.051000000, 1.047287703, 0.031374693, 2
MF, 1000, 0.051000000, 1.068567753, 0.034078121, 3
MF, 1000, 0.051000000, 0.995452881, 0.049376011, 4
MF, 2000, 0.036500000, 2.088160515, 0.039121628, 0
MF, 2000, 0.036500000, 2.022760391, 0.036398649, 1
MF, 2000, 0.036500000, 2.039733648, 0.059552670, 2
MF, 2000, 0.036500000, 1.999913454, 0.052481174, 3
MF, 2000, 0.036500000, 2.038106441, 0.051877737, 4
