classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 10, 0.491500000, 0.694913864, 0.006654978, 0
Log. Reg, 10, 0.491500000, 0.242832899, 0.000908852, 1
Log. Reg, 10, 0.491500000, 0.248270035, 0.000981092, 2
Log. Reg, 10, 0.491500000, 0.245528936, 0.000910997, 3
Log. Reg, 10, 0.491500000, 0.244922161, 0.000852823, 4
Lin. SVM, 10, 0.492500000, 0.002651453, 0.000401974, 0
Lin. SVM, 10, 0.492500000, 0.001020908, 0.000387192, 1
Lin. SVM, 10, 0.492500000, 0.001021147, 0.000411034, 2
Lin. SVM, 10, 0.492500000, 0.001007318, 0.000383377, 3
Lin. SVM, 10, 0.492500000, 0.001006603, 0.000386715, 4
SVM, 10, 0.501500000, 0.001998663, 0.002655983, 0
SVM, 10, 0.501500000, 0.000881195, 0.002554893, 1
SVM, 10, 0.501500000, 0.000833273, 0.002634764, 2
SVM, 10, 0.501500000, 0.000841618, 0.002568483, 3
SVM, 10, 0.501500000, 0.000821590, 0.002639532, 4
kNN, 10, 0.492500000, 0.001041889, 0.352056742, 0
kNN, 10, 0.492500000, 0.000430822, 0.244199276, 1
kNN, 10, 0.492500000, 0.000381708, 0.266101360, 2
kNN, 10, 0.492500000, 0.000342607, 0.232685566, 3
kNN, 10, 0.492500000, 0.000382662, 0.236294270, 4
RF, 10, 0.491000000, 1.468368053, 0.316279411, 0
RF, 10, 0.500500000, 1.397652388, 0.317613363, 1
RF, 10, 0.495000000, 1.532480240, 0.318226576, 2
RF, 10, 0.500500000, 1.464781284, 0.315840483, 3
RF, 10, 0.497500000, 1.422129393, 0.315672874, 4
MLP, 10, 0.493500000, 0.071579695, 0.002900600, 0
MLP, 10, 0.493500000, 0.072808504, 0.009153366, 1
MLP, 10, 0.493500000, 0.068507671, 0.002311230, 2
MLP, 10, 0.493500000, 0.083184242, 0.002638102, 3
MLP, 10, 0.493500000, 0.090802431, 0.002640247, 4
SPORF, 10, 0.494500000, 0.004215956, 0.028020382, 0
SPORF, 10, 0.494500000, 0.001213551, 0.028023005, 1
SPORF, 10, 0.494500000, 0.001119852, 0.025766373, 2
SPORF, 10, 0.494500000, 0.001113176, 0.026486397, 3
SPORF, 10, 0.494500000, 0.001129389, 0.025363922, 4
MF, 10, 0.507500000, 0.003113985, 0.026114225, 0
MF, 10, 0.507500000, 0.002967834, 0.025431156, 1
MF, 10, 0.507500000, 0.002992392, 0.027906179, 2
MF, 10, 0.507500000, 0.002979040, 0.025599241, 3
MF, 10, 0.507500000, 0.002987385, 0.026694536, 4
Log. Reg, 50, 0.477500000, 0.311343670, 0.000920057, 0
Log. Reg, 50, 0.477500000, 0.286951542, 0.000804901, 1
Log. Reg, 50, 0.477500000, 0.252532244, 0.000848293, 2
Log. Reg, 50, 0.477500000, 0.283622265, 0.000791550, 3
Log. Reg, 50, 0.477500000, 0.252171755, 0.000822544, 4
Lin. SVM, 50, 0.486000000, 0.003827810, 0.000418425, 0
Lin. SVM, 50, 0.486000000, 0.003294468, 0.000423431, 1
Lin. SVM, 50, 0.486000000, 0.003029346, 0.000401974, 2
Lin. SVM, 50, 0.486000000, 0.002472878, 0.000295639, 3
Lin. SVM, 50, 0.486000000, 0.002354860, 0.000301123, 4
SVM, 50, 0.492500000, 0.001690388, 0.016193628, 0
SVM, 50, 0.492500000, 0.001444817, 0.016117811, 1
SVM, 50, 0.492500000, 0.001402617, 0.016142845, 2
SVM, 50, 0.492500000, 0.001411200, 0.016150236, 3
SVM, 50, 0.492500000, 0.001402378, 0.016126871, 4
kNN, 50, 0.517500000, 0.001049519, 0.168741703, 0
kNN, 50, 0.517500000, 0.000603199, 0.171015024, 1
kNN, 50, 0.517500000, 0.000595808, 0.172015429, 2
kNN, 50, 0.517500000, 0.000577450, 0.173578501, 3
kNN, 50, 0.517500000, 0.000613451, 0.170256853, 4
RF, 50, 0.488000000, 1.535732746, 0.316305637, 0
RF, 50, 0.492500000, 1.503066778, 0.315866232, 1
RF, 50, 0.485000000, 1.494485855, 0.314650536, 2
RF, 50, 0.488500000, 1.622801542, 0.317162991, 3
RF, 50, 0.485000000, 1.498531818, 0.319235086, 4
MLP, 50, 0.483000000, 0.195217848, 0.002168179, 0
MLP, 50, 0.483000000, 0.146079540, 0.002038479, 1
MLP, 50, 0.483000000, 0.144899368, 0.001995325, 2
MLP, 50, 0.483000000, 0.144776344, 0.002020597, 3
MLP, 50, 0.483000000, 0.148341179, 0.002293825, 4
SPORF, 50, 0.490000000, 0.008189678, 0.031538010, 0
SPORF, 50, 0.490000000, 0.004096508, 0.028756142, 1
SPORF, 50, 0.490000000, 0.003997803, 0.027955294, 2
SPORF, 50, 0.490000000, 0.004498482, 0.028997421, 3
SPORF, 50, 0.490000000, 0.003886938, 0.027462244, 4
MF, 50, 0.412000000, 0.021806955, 0.027009010, 0
MF, 50, 0.412000000, 0.022190809, 0.028073311, 1
MF, 50, 0.412000000, 0.022027493, 0.027801752, 2
MF, 50, 0.412000000, 0.021634817, 0.028373003, 3
MF, 50, 0.412000000, 0.022067070, 0.027886868, 4
Log. Reg, 100, 0.485500000, 0.314368010, 0.000841141, 0
Log. Reg, 100, 0.485500000, 0.251920462, 0.000850916, 1
Log. Reg, 100, 0.485500000, 0.308426142, 0.000839710, 2
Log. Reg, 100, 0.485500000, 0.293728828, 0.000842571, 3
Log. Reg, 100, 0.485500000, 0.308899164, 0.000910997, 4
Lin. SVM, 100, 0.489000000, 0.009960413, 0.000416279, 0
Lin. SVM, 100, 0.489000000, 0.007344007, 0.000293493, 1
Lin. SVM, 100, 0.489000000, 0.006533146, 0.000311852, 2
Lin. SVM, 100, 0.489000000, 0.006790400, 0.000305176, 3
Lin. SVM, 100, 0.489000000, 0.006913424, 0.000290632, 4
SVM, 100, 0.484500000, 0.003084421, 0.031427145, 0
SVM, 100, 0.484500000, 0.002709627, 0.031363487, 1
SVM, 100, 0.484500000, 0.002754688, 0.031407833, 2
SVM, 100, 0.484500000, 0.002827168, 0.031603575, 3
SVM, 100, 0.484500000, 0.003066063, 0.031489372, 4
kNN, 100, 0.520500000, 0.001283407, 0.180719137, 0
kNN, 100, 0.520500000, 0.000740767, 0.174650431, 1
kNN, 100, 0.520500000, 0.000709772, 0.171257019, 2
kNN, 100, 0.520500000, 0.000597715, 0.171399355, 3
kNN, 100, 0.520500000, 0.000761032, 0.175133944, 4
RF, 100, 0.494500000, 1.584561348, 0.316937685, 0
RF, 100, 0.493500000, 1.485307932, 0.319170237, 1
RF, 100, 0.491000000, 1.582003117, 0.317868471, 2
RF, 100, 0.486000000, 1.469810247, 0.317825556, 3
RF, 100, 0.494000000, 1.577204466, 0.319540501, 4
MLP, 100, 0.478500000, 0.263213396, 0.002990246, 0
MLP, 100, 0.478500000, 0.254066229, 0.002654552, 1
MLP, 100, 0.478500000, 0.254988194, 0.002604246, 2
MLP, 100, 0.478500000, 0.254710913, 0.002611876, 3
MLP, 100, 0.478500000, 0.256686687, 0.002752781, 4
SPORF, 100, 0.497500000, 0.020971775, 0.033464670, 0
SPORF, 100, 0.497500000, 0.008887053, 0.031164646, 1
SPORF, 100, 0.497500000, 0.008689404, 0.030740976, 2
SPORF, 100, 0.497500000, 0.008542776, 0.030459404, 3
SPORF, 100, 0.497500000, 0.008601427, 0.030021191, 4
MF, 100, 0.300500000, 0.056889296, 0.030915260, 0
MF, 100, 0.300500000, 0.055413723, 0.030744553, 1
MF, 100, 0.300500000, 0.054383039, 0.030704737, 2
MF, 100, 0.300500000, 0.054647446, 0.030282974, 3
MF, 100, 0.300500000, 0.054272652, 0.031276226, 4
Log. Reg, 200, 0.477500000, 0.362344503, 0.000930786, 0
Log. Reg, 200, 0.477500000, 0.314051628, 0.001049995, 1
Log. Reg, 200, 0.477500000, 0.347381353, 0.000883579, 2
Log. Reg, 200, 0.477500000, 0.307819605, 0.000750542, 3
Log. Reg, 200, 0.477500000, 0.310306072, 0.000743389, 4
Lin. SVM, 200, 0.474000000, 0.039508581, 0.000533581, 0
Lin. SVM, 200, 0.473500000, 0.031308174, 0.005221844, 1
Lin. SVM, 200, 0.473500000, 0.030240536, 0.000360727, 2
Lin. SVM, 200, 0.473500000, 0.029874086, 0.000347614, 3
Lin. SVM, 200, 0.474000000, 0.029838562, 0.000338316, 4
SVM, 200, 0.488500000, 0.006708860, 0.044807434, 0
SVM, 200, 0.488500000, 0.006434679, 0.048182964, 1
SVM, 200, 0.488500000, 0.005968094, 0.048160791, 2
SVM, 200, 0.488500000, 0.006123543, 0.046459675, 3
SVM, 200, 0.488500000, 0.007741451, 0.048576355, 4
kNN, 200, 0.483500000, 0.001394510, 0.172511101, 0
kNN, 200, 0.483500000, 0.001110554, 0.173109293, 1
kNN, 200, 0.483500000, 0.001099110, 0.176280022, 2
kNN, 200, 0.483500000, 0.001242638, 0.171036482, 3
kNN, 200, 0.483500000, 0.001054764, 0.174035072, 4
RF, 200, 0.489500000, 1.593620300, 0.317009211, 0
RF, 200, 0.491000000, 1.584420204, 0.314536333, 1
RF, 200, 0.488000000, 1.563530445, 0.313600063, 2
RF, 200, 0.487000000, 1.609611750, 0.316344500, 3
RF, 200, 0.494000000, 1.572316170, 0.315840244, 4
MLP, 200, 0.509500000, 0.334646225, 0.003066301, 0
MLP, 200, 0.509500000, 0.327909946, 0.002803802, 1
MLP, 200, 0.509500000, 0.327514887, 0.002642155, 2
MLP, 200, 0.509500000, 0.329682350, 0.004186392, 3
MLP, 200, 0.509500000, 0.327412605, 0.002711296, 4
SPORF, 200, 0.488000000, 0.025573015, 0.042171001, 0
SPORF, 200, 0.488000000, 0.018873453, 0.040461063, 1
SPORF, 200, 0.488000000, 0.018536091, 0.040983677, 2
