classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 10, 0.475500000, 0.660839558, 0.019203186, 0
Lin. SVM, 10, 0.476500000, 0.006251097, 0.009079218, 0
SVM, 10, 0.379500000, 0.003000736, 0.026661634, 0
kNN, 10, 0.520000000, 0.002022743, 0.304871321, 0
RF, 10, 0.472000000, 0.003135443, 0.051833630, 0
MLP, 10, 0.444500000, 0.056586504, 0.012368441, 0
XGB, 10, 0.504000000, 0.069840431, 0.296552420, 0
SPORF, 10, 0.449500000, 0.003052711, 0.037568331, 0
MORF, 10, 0.110000000, 9.917193174, 0.077068090, 0
CNN, 10, 0.029000000, 0.535753012, 0.345477104, 0
Log. Reg, 50, 0.488500000, 0.329044104, 0.012670040, 0
Lin. SVM, 50, 0.490500000, 0.008959293, 0.010475636, 0
SVM, 50, 0.176000000, 0.005685329, 0.098734140, 0
kNN, 50, 0.023500000, 0.002225637, 0.178380489, 0
RF, 50, 0.035000000, 0.017143250, 0.189394236, 0
MLP, 50, 0.272500000, 0.124485254, 0.013736248, 0
XGB, 50, 0.272000000, 0.039881706, 0.109988451, 0
SPORF, 50, 0.111500000, 0.007049799, 0.040497541, 0
MORF, 50, 0.007500000, 44.090430737, 0.060000658, 0
CNN, 50, 0.014000000, 0.604051113, 0.338871241, 0
Log. Reg, 100, 0.505000000, 0.359513760, 0.015939713, 0
Lin. SVM, 100, 0.502000000, 0.083204269, 0.008780003, 0
SVM, 100, 0.067500000, 0.011007786, 0.160806179, 0
kNN, 100, 0.007000000, 0.003449678, 0.175573111, 0
RF, 100, 0.002000000, 0.015962124, 0.037537336, 0
MLP, 100, 0.164500000, 0.109647751, 0.012428284, 0
XGB, 100, 0.191000000, 0.042927265, 0.117029190, 0
SPORF, 100, 0.004500000, 0.013583183, 0.040088177, 0
MORF, 100, 0.037000000, 92.574596882, 0.189186811, 0
CNN, 100, 0.000000000, 0.973185301, 0.325735569, 0
Log. Reg, 200, 0.503000000, 0.468201160, 0.014559269, 0
Lin. SVM, 200, 0.498000000, 0.270663023, 0.008076429, 0
SVM, 200, 0.006500000, 0.035785437, 0.297565222, 0
kNN, 200, 0.006500000, 0.007179976, 0.175381422, 0
RF, 200, 0.001000000, 0.032134533, 0.063065767, 0
MLP, 200, 0.015000000, 0.153230190, 0.010698318, 0
XGB, 200, 0.065500000, 0.058543682, 0.114586115, 0
SPORF, 200, 0.002000000, 0.026299715, 0.041953564, 0
MORF, 200, 0.000500000, 173.174259186, 0.064740181, 0
CNN, 200, 0.000500000, 1.002030134, 0.325088978, 0
Log. Reg, 400, 0.506500000, 8.011369467, 0.019364357, 0
Lin. SVM, 400, 0.497500000, 0.565530777, 0.008145094, 0
SVM, 400, 0.000500000, 0.143137217, 0.574691296, 0
kNN, 400, 0.000500000, 0.015497684, 0.279128313, 0
RF, 400, 0.000500000, 0.056561947, 0.041077375, 0
MLP, 400, 0.000500000, 0.249662876, 0.012151003, 0
XGB, 400, 0.018500000, 0.141990423, 0.126108170, 0
SPORF, 400, 0.000500000, 0.051288128, 0.040227890, 0
MORF, 400, 0.001000000, 411.675615788, 0.237531900, 0
CNN, 400, 0.000500000, 4.367537022, 0.323012352, 0
Log. Reg, 1000, 0.478000000, 4.973988295, 0.021387577, 0
Lin. SVM, 1000, 0.481500000, 1.400426388, 0.006948233, 0
SVM, 1000, 0.000000000, 0.755869389, 1.240585089, 0
kNN, 1000, 0.000000000, 0.052779913, 0.580713034, 0
RF, 1000, 0.000500000, 0.076850176, 0.050738811, 0
MLP, 1000, 0.000500000, 0.501272678, 0.012578487, 0
XGB, 1000, 0.001000000, 0.153198004, 0.121282816, 0
SPORF, 1000, 0.000500000, 0.119648695, 0.042430639, 0
MORF, 1000, 0.000500000, 1263.671757460, 0.089066744, 0
CNN, 1000, 0.000500000, 10.136433840, 0.298441172, 0
Log. Reg, 2000, 0.481500000, 5.643796921, 0.023055792, 0
Lin. SVM, 2000, 0.501000000, 2.817147255, 0.008466482, 0
SVM, 2000, 0.000500000, 2.542950630, 1.734234810, 0
kNN, 2000, 0.000000000, 0.123233318, 1.283075333, 0
RF, 2000, 0.000500000, 0.153900862, 0.041542768, 0
MLP, 2000, 0.000500000, 0.725845575, 0.010022402, 0
XGB, 2000, 0.000500000, 0.266423225, 0.121092796, 0
SPORF, 2000, 0.000500000, 0.239239216, 0.042508841, 0
MORF, 2000, 0.000500000, 2721.579150200, 0.190247536, 0
CNN, 2000, 0.000000000, 10.907415628, 0.306623936, 0
