classifier,n,Lhat,trainTime,testTime,iterate
CNN, 10, 0.006000000, 0.104394197, 0.114683628, 0
CNN, 10, 0.003500000, 0.050078869, 0.105772495, 1
CNN, 10, 0.002500000, 0.053449869, 0.111096144, 2
CNN, 10, 0.002500000, 0.107907772, 0.110773802, 3
CNN, 10, 0.002500000, 0.107378721, 0.109527588, 4
CNN, 50, 0.002500000, 0.098410368, 0.110840321, 0
CNN, 50, 0.002500000, 0.120658398, 0.111657619, 1
CNN, 50, 0.002500000, 0.125967026, 0.115584850, 2
CNN, 50, 0.002500000, 0.129399776, 0.449575186, 3
CNN, 50, 0.002500000, 0.145156622, 0.120481014, 4
CNN, 100, 0.001500000, 0.431613445, 0.124786854, 0
CNN, 100, 0.000500000, 0.319878340, 0.112720013, 1
CNN, 100, 0.000500000, 0.468287706, 0.111118317, 2
CNN, 100, 0.000500000, 0.485530138, 0.110722542, 3
CNN, 100, 0.000500000, 0.448176146, 0.111072540, 4
CNN, 200, 0.005000000, 0.498625755, 0.114504099, 0
CNN, 200, 0.000500000, 0.608632565, 0.113787651, 1
CNN, 200, 0.000500000, 0.816323042, 0.111565351, 2
CNN, 200, 0.000500000, 0.840508223, 0.107154608, 3
CNN, 200, 0.000500000, 0.821081638, 0.112127542, 4
CNN, 400, 0.000000000, 1.201294422, 0.100142002, 0
CNN, 400, 0.000000000, 1.235574245, 0.127625704, 1
CNN, 400, 0.000000000, 1.164898157, 0.107331991, 2
CNN, 400, 0.000000000, 1.160183430, 0.120647430, 3
CNN, 400, 0.000000000, 1.173544884, 0.103713036, 4
CNN, 1000, 0.000000000, 3.122913599, 0.112756968, 0
CNN, 1000, 0.000000000, 3.210196495, 0.108721495, 1
CNN, 1000, 0.000000000, 3.067122698, 0.105079174, 2
CNN, 1000, 0.000000000, 3.088784218, 0.105542660, 3
CNN, 1000, 0.000000000, 3.073484182, 0.183977127, 4
CNN, 2000, 0.000500000, 5.717959166, 0.094980240, 0
CNN, 2000, 0.000500000, 4.247745514, 0.091656208, 1
CNN, 2000, 0.000500000, 4.507168293, 0.119331598, 2
CNN, 2000, 0.000500000, 4.507315397, 0.097615242, 3
CNN, 2000, 0.000500000, 4.643639803, 0.118527889, 4
