classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 10, 0.485000000, 0.233681202, 0.002193451, 0
Log. Reg, 10, 0.485000000, 0.237681389, 0.002490044, 1
Log. Reg, 10, 0.485000000, 0.241390944, 0.002662182, 2
Log. Reg, 10, 0.485000000, 0.275475740, 0.002326012, 3
Log. Reg, 10, 0.485000000, 0.274942636, 0.002265930, 4
Lin. SVM, 10, 0.514000000, 0.001049280, 0.001713991, 0
Lin. SVM, 10, 0.514000000, 0.001081467, 0.001722336, 1
Lin. SVM, 10, 0.514000000, 0.000990391, 0.001728535, 2
Lin. SVM, 10, 0.514000000, 0.001105547, 0.001739740, 3
Lin. SVM, 10, 0.514000000, 0.001008272, 0.001708746, 4
SVM, 10, 0.388500000, 0.001520634, 0.019345284, 0
SVM, 10, 0.388500000, 0.001460552, 0.019354820, 1
SVM, 10, 0.388500000, 0.001045465, 0.016132116, 2
SVM, 10, 0.388500000, 0.000987530, 0.016364574, 3
SVM, 10, 0.388500000, 0.001038790, 0.016625166, 4
kNN, 10, 0.552000000, 0.000533104, 0.358211040, 0
kNN, 10, 0.552000000, 0.000571251, 0.269778728, 1
kNN, 10, 0.552000000, 0.000542402, 0.331767797, 2
kNN, 10, 0.552000000, 0.000533342, 0.279108286, 3
kNN, 10, 0.552000000, 0.000537872, 0.292633772, 4
RF, 10, 0.472000000, 0.002032757, 0.032629490, 0
RF, 10, 0.472000000, 0.001067400, 0.028741598, 1
RF, 10, 0.472000000, 0.001020432, 0.028012514, 2
RF, 10, 0.472000000, 0.001360655, 0.029625893, 3
RF, 10, 0.472000000, 0.001183033, 0.028380156, 4
MLP, 10, 0.432500000, 0.057323456, 0.005635023, 0
MLP, 10, 0.432500000, 0.054614067, 0.004411459, 1
MLP, 10, 0.432500000, 0.044737101, 0.004076719, 2
MLP, 10, 0.432500000, 0.044717312, 0.004328251, 3
MLP, 10, 0.432500000, 0.044663429, 0.004031658, 4
XGB, 10, 0.504000000, 0.021222830, 0.114553452, 0
XGB, 10, 0.504000000, 0.017544508, 0.040565968, 1
XGB, 10, 0.504000000, 0.017330170, 0.040706158, 2
XGB, 10, 0.504000000, 0.016951084, 0.042307377, 3
XGB, 10, 0.504000000, 0.017184019, 0.041908503, 4
SPORF, 10, 0.458000000, 0.001085281, 0.030397654, 0
SPORF, 10, 0.458000000, 0.001266956, 0.029395103, 1
SPORF, 10, 0.458000000, 0.001311064, 0.029985189, 2
SPORF, 10, 0.458000000, 0.001266718, 0.030646801, 3
SPORF, 10, 0.458000000, 0.001254082, 0.029084682, 4
MF, 10, 0.176500000, 0.001188755, 0.030578136, 0
MF, 10, 0.176500000, 0.001295328, 0.029909611, 1
MF, 10, 0.176500000, 0.001306057, 0.030279636, 2
MF, 10, 0.176500000, 0.001350641, 0.030512571, 3
MF, 10, 0.176500000, 0.001281500, 0.030515432, 4
Log. Reg, 50, 0.489500000, 0.332670450, 0.002726793, 0
Log. Reg, 50, 0.489500000, 0.277905703, 0.002704620, 1
Log. Reg, 50, 0.489500000, 0.316723108, 0.002901077, 2
Log. Reg, 50, 0.489500000, 0.268544436, 0.002492428, 3
Log. Reg, 50, 0.489500000, 0.273552895, 0.002916336, 4
Lin. SVM, 50, 0.500000000, 0.005700350, 0.001610041, 0
Lin. SVM, 50, 0.500000000, 0.005793810, 0.001491070, 1
Lin. SVM, 50, 0.500000000, 0.005610228, 0.001475811, 2
Lin. SVM, 50, 0.500000000, 0.005716324, 0.001474857, 3
Lin. SVM, 50, 0.500000000, 0.005631685, 0.001485109, 4
SVM, 50, 0.180500000, 0.003234386, 0.078246117, 0
