classifier,n,Lhat,trainTime,testTime,iterate
MF, 200, 0.190800000, 0.057323694, 0.205077887, 2
MF, 200, 0.190800000, 0.057556391, 0.195058823, 3
MF, 200, 0.190800000, 0.060513735, 0.193938017, 4
Log. Reg, 500, 0.161900000, 0.837212324, 0.014026880, 0
Log. Reg, 500, 0.161900000, 0.827086687, 0.012524605, 1
Log. Reg, 500, 0.161900000, 0.891524076, 0.013536692, 2
Log. Reg, 500, 0.161900000, 0.895489693, 0.014031410, 3
Log. Reg, 500, 0.161900000, 0.902860165, 0.013333559, 4
Lin. SVM, 500, 0.250200000, 0.858562231, 0.010506392, 0
Lin. SVM, 500, 0.250200000, 0.880718231, 0.010534286, 1
Lin. SVM, 500, 0.250200000, 0.907652140, 0.010861158, 2
Lin. SVM, 500, 0.250200000, 0.878329515, 0.010985851, 3
Lin. SVM, 500, 0.250200000, 0.915539265, 0.010818958, 4
SVM, 500, 0.169200000, 0.276188135, 3.483879566, 0
SVM, 500, 0.169200000, 0.278798103, 3.466316223, 1
SVM, 500, 0.169200000, 0.278117180, 3.498693943, 2
SVM, 500, 0.169200000, 0.281812906, 3.487654209, 3
SVM, 500, 0.169200000, 0.277188063, 3.454257250, 4
kNN, 500, 0.221300000, 0.018920898, 1.515145540, 0
kNN, 500, 0.221300000, 0.018380880, 1.517600775, 1
kNN, 500, 0.221300000, 0.019444227, 1.511109829, 2
kNN, 500, 0.221300000, 0.018118858, 1.520505428, 3
kNN, 500, 0.221300000, 0.019292116, 1.428661108, 4
RF, 500, 0.122800000, 0.063272476, 0.163804531, 0
RF, 500, 0.122800000, 0.058096170, 0.162872076, 1
RF, 500, 0.122800000, 0.056335211, 0.161714792, 2
RF, 500, 0.122800000, 0.056508780, 0.174233675, 3
RF, 500, 0.122800000, 0.056220293, 0.176455975, 4
MLP, 500, 0.157700000, 0.686915636, 0.021972418, 0
MLP, 500, 0.157700000, 0.681586266, 0.020890713, 1
MLP, 500, 0.157700000, 0.686088085, 0.019621611, 2
MLP, 500, 0.157700000, 0.681736946, 0.020137072, 3
MLP, 500, 0.157700000, 0.682804346, 0.019564629, 4
XGB, 500, 0.165300000, 0.497597694, 0.249144793, 0
XGB, 500, 0.165300000, 0.468574047, 0.250634670, 1
